year,city,state,age,hardness,ph,infRate,typhoidRate,npTubRate,momRate,population,precipitation,temperature,lead,foreignShare
1900,Alameda,CA,28.9548377990723,97,7.59999990463257,0.109756097197533,0.024390242993832,0.030487805604935,0.195121943950653,164,1.85030698776245,59.0261688232422,0,0.193548381328583
1900,Albany,NY,30.3476753234863,43,7.30000019073486,0.298618495464325,0.041445270180702,0.013815090060234,0.179596170783043,941,3.27873539924622,45.2679100036621,1,0.184883713722229
1900,Allegheny,PA,27.0873012542725,111,7.30000019073486,0.446841299533844,0.093990758061409,0.027734976261854,0.192604005336761,1298,3.35094308853149,48.971492767334,1,0.237301588058472
1900,Allentown,PA,27.764045715332,176,7.69999980926514,0.384180784225464,0.028248587623239,0.005649717524648,0.197740107774734,354,3.35094308853149,48.971492767334,1,0.078651688992977
1900,Altoona,PA,27.0375328063965,111,7.30000019073486,0.467866331338882,0.04370179772377,0.007712082471699,0.182519286870956,389,3.35094308853149,48.971492767334,0,0.112600535154343
1900,Amsterdam,NY,28.6098899841309,43,7.30000019073486,0.306220084428787,0.014354066923261,0.019138755276799,0.162679418921471,209,3.27873539924622,45.2679100036621,1,0.252747267484665
1900,Ann Arbor,MI,28.1297702789307,269,8,0.131034478545189,0.027586206793785,0.048275861889124,0.165517240762711,145,2.61005115509033,44.5486831665039,0,0.106870226562023
1900,Atlanta,GA,25.7522220611572,15,6.80000019073486,0.524498879909515,0.074610248208046,0.026726057752967,0.231625840067863,898,4.16537284851074,63.8244171142578,1,0.023333333432674
1900,Atlantic City,NJ,28.761905670166,12,6.19999980926514,0.438848912715912,0.025179855525494,0.035971224308014,0.276978403329849,278,3.75226616859436,52.1902046203613,0,0.129251703619957
1900,Auburn,NY,28.2818183898926,120,6.80000019073486,0.346534639596939,0.046204619109631,0.036303631961346,0.184818476438522,303,3.27873539924622,45.2679100036621,0,0.196969702839851
1900,Augusta,ME,29.577320098877,9,6.90000009536743,0.396551728248596,0.043103449046612,0.043103449046612,0.137931033968925,116,3.58091378211975,41.250732421875,0,0.154639169573784
1900,Baltimore,MD,26.738374710083,47,7.30000019073486,0.526233077049255,0.038907445967197,0.019060719758272,0.198467284440994,5089,3.59182024002075,53.7739028930664,0,0.147323176264763
1900,Bangor,ME,32.6071434020996,9,6.90000009536743,0.211009174585342,0.022935779765248,0.027522936463356,0.238532111048698,218,3.58091378211975,41.250732421875,0,0.21875
1900,Bath,ME,27.050724029541,9,6.90000009536743,0.413461536169052,0.009615384973586,0.019230769947171,0.240384608507156,104,3.58091378211975,41.250732421875,0,0.21014492213726
1900,Battle Creek,MI,29.7222213745117,140,8.39999961853027,0.15675675868988,0.05405405536294,0.043243244290352,0.2054053992033,185,2.61005115509033,44.5486831665039,1,0.116161614656448
1900,Bay City,MI,23.3663005828857,96,8,0.336956530809402,0.043478261679411,0.010869565419853,0.155797094106674,276,2.61005115509033,44.5486831665039,1,0.24542124569416
1900,Bayonne,NJ,22.7442455291748,73,7.5,0.577981650829315,0.024464832618833,0.018348623067141,0.198776751756668,327,3.75226616859436,52.1902046203613,1,0.319693088531494
1900,Biddeford,ME,25.0923919677734,9,6.90000009536743,0.751552820205688,0.093167699873447,0.018633540719748,0.192546591162682,161,3.58091378211975,41.250732421875,0,0.494565218687057
1900,Binghampton,NY,29.2317886352539,120,8.19999980926514,0.275252521038055,0.040404040366411,0.010101010091603,0.194444447755814,396,3.27873539924622,45.2679100036621,0,0.123620308935642
1900,Boston,MA,28.4754180908203,21,6.5,0.42564195394516,0.0240727532655,0.038516405969858,0.215584874153137,5608,3.61384510993958,47.7241973876953,1,0.363319396972656
1900,Bridgeport,CT,27.5508098602295,28,6.69999980926514,0.434414654970169,0.019746121019125,0.021156558766961,0.203102961182594,709,3.80274844169617,48.5241241455078,1,0.300441831350327
1900,Brockton,MA,26.6659927368164,21,6.5,0.280000001192093,0.050000000745058,0.025000000372529,0.25,400,3.61384510993958,47.7241973876953,0,0.246963560581207
1900,Buffalo,NY,25.589527130127,140,8.19999980926514,0.391427755355835,0.023559466004372,0.021288674324751,0.192449614405632,3523,3.27873539924622,45.2679100036621,1,0.299831092357635
1900,Burlington,IA,31.2009563446045,200,8.19999980926514,0.193965524435043,0.056034483015537,0.004310344811529,0.185344830155373,232,2.69608926773071,47.6700286865234,1,0.205741629004478
1900,Burlington,VT,28.799144744873,59,7.59999990463257,0.467741936445236,0.037634409964085,0.026881720870733,0.268817216157913,186,3.4193639755249,42.5419578552246,0,0.277777791023254
1900,Cambridge,MA,27.527027130127,21,6.5,0.401960790157318,0.017429193481803,0.020697167143226,0.228758171200752,918,3.61384510993958,47.7241973876953,0,0.324324309825897
1900,Camden,NJ,27.0181064605713,148,7.59999990463257,0.463768124580383,0.01317523047328,0.015810277312994,0.167325422167778,759,3.75226616859436,52.1902046203613,1,0.110027857124805
1900,Canton,OH,27.831579208374,112,7.59999990463257,0.300653606653214,0.02941176481545,0.009803921915591,0.176470592617989,306,3.19353795051575,50.7355270385742,0,0.112280704081059
